230,0,0
237,8,0
244,15,0
251,24,0
255,36,4
255,50,11
255,63,18
255,77,26
255,89,33
255,101,40
255,113,47
255,125,55
255,135,62
255,146,69
255,156,77
255,165,84
255,174,91
255,183,98
255,191,106
255,199,113
255,206,120
255,212,128
255,219,135
255,225,142
255,230,149
255,235,157
255,239,164
255,243,171
255,246,178
255,250,186
255,252,193
255,254,200
200,254,255
193,252,255
186,250,255
179,247,255
171,243,255
164,239,255
157,235,255
149,230,255
142,225,255
135,219,255
128,213,255
120,206,255
113,199,255
106,191,255
98,183,255
91,174,255
84,165,255
77,156,255
69,146,255
62,135,255
55,125,255
47,113,255
40,101,255
33,89,255
26,77,255
18,63,255
11,50,255
4,36,255
0,24,251
0,15,244
0,8,237
0,0,230